station,timestamp:utc,timestamp:local,timestamp:localstring,district,locationName,nearbyPlace,longitude,latitude,elevation,direction,county,route,routeSuffix,postmilePrefix,alignment,milepost,inService,essReferenceHeight,essPressureHeight,essWindSensorHeight,essNumTemperatureSensors,numEssPavementSensors,numEssSubSurfaceSensors,alert,alertAppliesTo,qc_pass
id,sec,sec,time,none,none,none,deg,deg,ft,none,none,none,none,none,none,mi,none,ft,ft,ft,none,none,none,none,none,none
string,epoch time,epoch time,time string,int,text,text,float,float,float,text,text,text,text,text,text,float,bool,float,float,float,int,int,int,bool,text,bool
D10-13,1770831180,1770802380,2026/02/11-09:33 -0800,10,I-205 : East of Banta Overcross,Tracy,-121.34646,37.76537,3,East,San Joaquin,I-205,,R,,12.81,true,,,,1,Not Reported,Not Reported,,,
D10-14,1741818000,1741789200,2025/03/12-14:20 -0800,10,SR-120 : McKinley Avenue,Manteca,-121.27089,37.78496,39,Median,San Joaquin,SR-120,,R,,1.79,true,,,,1,Not Reported,Not Reported,,,
D10-15,1770820200,1770791400,2026/02/11-06:30 -0800,10,SR-120 : I-5,Lathrop,-121.298,37.78898,22,East,San Joaquin,SR-120,,R,,0.23,true,,,,1,Not Reported,Not Reported,,,
D10-16,1770831000,1770802200,2026/02/11-09:30 -0800,10,I-5 : North of SR-120,Lathrop,-121.30107,37.79228,16,South,San Joaquin,I-5,,R,,460.38,true,,,,1,Not Reported,Not Reported,,,
D10-17,1770831180,1770802380,2026/02/11-09:33 -0800,10,SR-99 : Wilson Way,Stockton,-121.25722,38.00322,36,North,San Joaquin,SR-99,,,,257.52,true,,,,1,Not Reported,Not Reported,,,
D10-18,1770831180,1770802380,2026/02/11-09:33 -0800,10,SR-99 : South of Armstrong,Lodi,-121.25997,38.0696,36,South,San Joaquin,SR-99,,,,262.12,true,,,,1,Not Reported,Not Reported,,,
D10-19,1770831180,1770802380,2026/02/11-09:33 -0800,10,SR-12 : Tower Park Way,Lodi,-121.48522,38.11525,-16,East,San Joaquin,SR-12,,,,75.19,true,,,,1,Not Reported,Not Reported,,,
D10-21,1770831000,1770802200,2026/02/11-09:30 -0800,10,SR-99 : Mission,Merced,-120.42484,37.26267,187,North,Merced,SR-99,,R,,183.96,true,,,,1,Not Reported,Not Reported,,,
D10-22,1652181600,1652152800,2022/05/10-03:20 -0800,10,SR-99 : Turlock Rest Stop,Turlock,-120.82486,37.46461,114,North,Stanislaus,SR-99,,R,,210.96,false,,,,1,Not Reported,Not Reported,,,
D10-23,1770831000,1770802200,2026/02/11-09:30 -0800,10,SR-99 : Livingston,Livingston,-120.6834,37.37463,147,North,Merced,SR-99,,,,200.61,true,,,,1,Not Reported,Not Reported,,,
D10-24,1752520800,1752492000,2025/07/14-11:20 -0800,10,SR-99 : Faith Home Road OC,Keyes,-120.91989,37.55958,85,North,Stanislaus,SR-99,,,,219.72,false,,,,1,Not Reported,Not Reported,,,
D10-25,1770831000,1770802200,2026/02/11-09:30 -0800,10,SR-99 : Griffith Road,Turlock,-120.80324,37.45471,124,South,Merced,SR-99,,R,,209.57,true,,,,1,Not Reported,Not Reported,,,
D10-27,1770831000,1770802200,2026/02/11-09:30 -0800,10,I-205 : MacArthur Drive,Tracy,-121.425514,37.763253,22,South,San Joaquin,I-205,,R,,8.47,true,,,,2,Not Reported,Not Reported,,,
D10-28,1770831180,1770802380,2026/02/11-09:33 -0800,10,I-205 : Grantline Road,Tracy,-121.469703,37.751807,32,South,San Joaquin,I-205,,R,,5.88,true,,,,1,Not Reported,Not Reported,,,
D10-29,1770831000,1770802200,2026/02/11-09:30 -0800,10,SR-12 : SR-160,Isleton,-121.67549,38.15455,-6,East,Sacramento,SR-12,,,,64.24,true,,,,1,Not Reported,Not Reported,,,
D10-30,1770831000,1770802200,2026/02/11-09:30 -0800,10,SR-12 : Brannan Island Road,Isleton,-121.58556,38.1282,-16,East,Sacramento,SR-12,,,,69.48,true,,,,1,Not Reported,Not Reported,,,
D10-31,1770831000,1770802200,2026/02/11-09:30 -0800,10,SR-99 : Le Grand Road,Merced,-120.36266,37.2131,200,North,Merced,SR-99,,,,179.06,true,,,,1,Not Reported,Not Reported,,,
D10-32,1770831000,1770802200,2026/02/11-09:30 -0800,10,SR-99 : Mariposa Way,Merced,-120.40295,37.24494,196,North,Merced,SR-99,,R,R,182.271,true,,,,1,Not Reported,Not Reported,,,
D10-33,1597921200,1597892400,2020/08/20-03:00 -0800,10,SR-99 : French Camp Road,Manteca,-121.21818,37.851,49,North,San Joaquin,SR-99,,,,246.73,true,,,,1,Not Reported,Not Reported,,,
D10-34,1770831000,1770802200,2026/02/11-09:30 -0800,10,SR-99 : SR-4 Crosstown,Stockton,-121.24158,37.96161,49,North,San Joaquin,SR-99,,,,254.51,true,,,,1,Not Reported,Not Reported,,,
D10-35,1770831000,1770802200,2026/02/11-09:30 -0800,10,SR-99 : SR-26 Fremont St,Stockton,-121.24736,37.97438,32,North,San Joaquin,SR-99,,,,255.46,true,,,,1,Not Reported,Not Reported,,,
D10-36,1770831000,1770802200,2026/02/11-09:30 -0800,10,SR-99 : Hammer Lane,Stockton,-121.25881,38.02024,36,South,San Joaquin,SR-99,,,,258.71,true,,,,Not Reported,Not Reported,Not Reported,,,
D10-37,1770829800,1770801000,2026/02/11-09:10 -0800,10,I-5 : North of Lathrop,Lathrop,-121.28657,37.83791,13,South,San Joaquin,I-5,,R,,463.64,true,,,,1,Not Reported,Not Reported,,,
D10-38,1770831000,1770802200,2026/02/11-09:30 -0800,10,SR-120 : East of Main St,Manteca,-121.20967,37.78368,52,West,San Joaquin,SR-120,,R,,5.16,true,,,,1,Not Reported,Not Reported,,,
D10-39,1770831000,1770802200,2026/02/11-09:30 -0800,10,SR-120 : East of Airport Way,Manteca,-121.24279,37.7835,26,West,San Joaquin,SR-120,,R,,3.34,true,,,,1,Not Reported,Not Reported,,,
D10-40,1770831000,1770802200,2026/02/11-09:30 -0800,10,I-5 : North of Mathews Rd,French Camp,-121.27886,37.88233,36,Median,San Joaquin,I-5,,R,,466.76,true,,,,1,Not Reported,Not Reported,,,
D10-41,1770831000,1770802200,2026/02/11-09:30 -0800,10,I-5 : North of Roth Rd,Lathrop,-121.28189,37.85745,16,South,San Joaquin,I-5,,R,,465.01,true,,,,1,Not Reported,Not Reported,,,
D10-42,1770830400,1770801600,2026/02/11-09:20 -0800,10,I-5 : South of Louise Ave,Lathrop,-121.29574,37.81155,13,Median,San Joaquin,I-5,,R,,461.75,true,,,,1,Not Reported,Not Reported,,,
D10-43,1770831000,1770802200,2026/02/11-09:30 -0800,10,SR-99 : North of Kiernan Rd,Salida,-121.08164,37.709,72,South,Stanislaus,SR-99,,R,,233.69,true,,,,1,Not Reported,Not Reported,,,
D10-44,1770831000,1770802200,2026/02/11-09:30 -0800,10,I-205 : Hansen OC,Tracy,-121.51353,37.74107,108,East,San Joaquin,I-205,,,,3.29,true,,,,2,Not Reported,Not Reported,,,
